HH MM       Wp      kak      lrm      wmq      izn      fur      ebr      tdc      sjg      tuc      hon      cnb   n
03 58    0.038    0.054    0.098  999.000  999.000    0.127    0.112    0.043    0.032    0.040    0.035    0.194   3
03 59    0.030    0.079    0.076  999.000  999.000    0.168    0.188    0.043    0.022    0.024    0.030    0.339   3
04 00    0.058    0.050    0.091  999.000  999.000    0.125    0.191    0.078    0.041    0.055    0.043    0.166   3
04 01    0.065    0.101    0.129  999.000  999.000    0.099    0.089    0.078    0.048    0.068    0.054    0.225   3
04 02    0.065    0.115    0.160  999.000  999.000    0.091    0.074    0.050    0.055    0.089    0.052    0.193   3
04 03    0.054    0.100    0.189  999.000  999.000    0.108    0.100    0.058    0.035    0.070    0.042    0.318   3
04 04    0.056    0.138    0.129  999.000  999.000    0.152    0.166    0.073    0.035    0.060    0.044    0.407   3
04 05    0.078    0.229    0.242  999.000  999.000    0.156    0.182    0.089    0.056    0.089    0.073    0.461   3
04 06    0.107    0.201    0.217  999.000  999.000    0.122    0.150    0.088    0.069    0.164    0.087    0.643   3
04 07    0.088    0.099    0.182  999.000  999.000    0.206    0.126    0.072    0.049    0.142    0.058    0.365   3
04 08    0.072    0.166    0.156  999.000  999.000    0.199    0.161    0.089    0.029    0.097    0.056    0.485   3
04 09    0.066    0.165    0.119  999.000  999.000    0.182    0.137    0.078    0.025    0.096    0.076    0.578   3
04 10    0.081    0.188    0.222  999.000  999.000    0.223    0.132    0.108    0.064    0.070    0.109    0.675   3
04 11    0.111    0.220    0.273  999.000  999.000    0.240    0.121    0.084    0.078    0.172    0.091    0.656   3
04 12    0.087    0.293    0.339  999.000  999.000    0.230    0.105    0.069    0.043    0.147    0.115    0.901   3
